Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Monthly Observation Table for January 1 2020
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Max Temp,Number Missing,Number Estimated
,deg,deg,ft,,,Degrees F,,
Eldred,47.688,-96.822,861,2020,1,18.484,0,0
Eldred,47.688,-96.822,861,2020,2,20.729,0,0
Eldred,47.688,-96.822,861,2020,3,32.216,0,0
Eldred,47.688,-96.822,861,2020,4,46.136,0,0
Eldred,47.688,-96.822,861,2020,5,64.905,0,0
Eldred,47.688,-96.822,861,2020,6,80.356,0,0
Eldred,47.688,-96.822,861,2020,7,81.930,0,0
Eldred,47.688,-96.822,861,2020,8,80.047,0,0
Eldred,47.688,-96.822,861,2020,9,69.317,0,0
Eldred,47.688,-96.822,861,2020,10,48.454,0,0
Eldred,47.688,-96.822,861,2020,11,41.823,0,0
Eldred,47.688,-96.822,861,2020,12,29.775,0,0
