Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu
Monthly Observation Table for January 1 2019
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available
Station Name,Latitude,Longitude,Elevation,Year,Month,Max Temp,Number Missing,Number Estimated
,deg,deg,ft,,,Degrees F,,
Berthold,48.38,-101.822,2132,2019,1,17.760,0,0
Berthold,48.38,-101.822,2132,2019,2,1.078,0,0
Berthold,48.38,-101.822,2132,2019,3,29.529,0,0
Berthold,48.38,-101.822,2132,2019,4,51.812,0,0
Berthold,48.38,-101.822,2132,2019,5,62.341,0,0
Berthold,48.38,-101.822,2132,2019,6,74.731,0,0
Berthold,48.38,-101.822,2132,2019,7,77.138,0,0
Berthold,48.38,-101.822,2132,2019,8,76.009,0,0
Berthold,48.38,-101.822,2132,2019,9,64.939,0,0
Berthold,48.38,-101.822,2132,2019,10,45.078,0,0
Berthold,48.38,-101.822,2132,2019,11,32.036,0,0
Berthold,48.38,-101.822,2132,2019,12,24.104,0,0
